"","title","lead.author","year","publication.type","genetics","genomic","evolution","sex.differences","dosage..test.","mechanism","cell.stuff","issue","development","epigenetics","methods","treatment","race","unsure","irrelevant","notes.etc"
"1","Expression levels of XIST RNA predict PTSD and chronic pain outcomes in women experiencing motor vehicle collision","linnstaedt",2017,"study","","","","x","","xci","","ptsd, chronic post-traumatic pain","","xist","rna seq","","","","",""
"2","DNA methylation analysis of putative schizophrenia susceptibility genes in the human dorsolateral prefrontal cortex across the lifespan","guitart",2010,"study","","several specific genes (schizophrenia susceptibility genes)","","","","","","neurological, schizophrenia","","dna methylation","methylation assay","","","","",""
"3","Statistical Analysis of X Chromosome Variants: Application to Sex-Specific Characteristics of Bipolar Disorder","winham",2019,"stat analysis","","","","x","","xci, 14k chrX snps","","bpd","","","proposing: ""We propose new approaches to assess the contribution of X chromosome variants inspired by X chromosome biology that account for whether a single nucleotide polymorphism (SNP) may be undergoing or escaping XCI""; meta-analysis","","","","",""
"4","Neural growth hormone implicated in body weight sex differences","bonthuis ",2013,"experiment","?","","","x","chrX dosage","hormones; Gh gne expression","","behavioral, obseity","","","mice?","","","","",""
"5","A Key Characteristic of Sex Differences in the Developing Brain: Greater Variability in Brain Structure of Boys than Girls","wierenga",2018,"study","","","","x","","","","cognitive and personality variability, key brain structures","","","cohort study of 643 males and 591 females between 3-21","","","","",""
"6","Transcriptomic analysis of the hippocampus from six inbred strains of mice suggests a basis for sex-specific susceptibility and severity of neurological disorders","vied",2016,"analysis","129S1/SvImJ, A/J, C57BL/6J, DBA/1J, DBA/2J, and PWD/Ph","","","x","","","","neurological, behavioral disorders","","","analysis of transcriptomic data from mouse hippocampus of six inbred strains; examine gene ontology and pathway, and phenotype enrichment","","","","",""
"7","A review of the role of female gender in autism spectrum disorders","kirkovski",2013,"review","","","","x","","","","autism spectrum disorders","","","","","","","",""
"8","Pharmaceutical Implications of Sex-Related RNA Divergence in Psychiatric Disorders","simchovitz-gesher",2020,"review","","","","x","","""from genomics to pharmaceuticals""; transcriptional level differences","","psychiatric disorders","","","","","","","",""
"9","Molecular studies of major depressive disorder: the epigenetic perspective","mill",2007,"","","","","","","","","major depressive disorder","","x","","","","","",""
"10","A model incorporating potential skewed X-inactivation in MZ girls suggests that X-linked QTLs exist for several social behaviours including autism spectrum disorder","loat",2008,"longitudinal cohort study","","","","x","","stochastic patterns of xci ","","autism spectrum disorders","","","longitudinal cohort study","","","","",""
