"","title","lead.author","year","publication.type","genetics","genomic","evolution","sex.differences","dosage..test.","mechanism","cell.stuff","issue","development","epigenetics","methods","treatment","race","unsure","irrelevant","notes.etc"
"1","Sex differences in COVID-19: candidate pathways, genetics of ACE2, and sex hormones","viveiros",2021,"review","ACE2","","","x","","","","covid, immunity, cardiovascular","","","","","","","",""
"2","Sex Chromosome Effects Unmasked in Angiotensin II-Induced Hypertension","ji",2010,"experiment","","","","x","","gonadal sex, potentially impacted by sex chromosome complement; x mosaicism; hormone antics","","mean arterial pressure, hypertension","","","mouse model","","","","",""
"3","Up-Regulation of the Long Noncoding RNA X-Inactive–Specific Transcript and the Sex Bias in Pulmonary Arterial Hypertension","qin",2021,"","","","","x","","xist upregulation","endothelial cell sexual dimorphic behavior","pulmonary arterial hypertension","","","mice model","","","","",""
"4","Female mice with an XY sex chromosome complement develop severe Angiotensin II-induced abdominal aortic aneurysms","alsiraj",2017,"experiment","low-density lipoprotein receptor (ldlr)","aortic gene expression profiles?","","x","","XX vs XY","","abdominal aortic aneurysms","","","lots of sciency things, dna microarrays","","","x","","mice"
"5","The number of X chromosomes influences protection from cardiac ischaemia/reperfusion injury in mice: One X is better than two","li",2014,"experiment","Eif2s3x, KDM6A, KDM5C","","","x","","exci","","coronary heart disease","","","mouse models","","","","",""
"6","Improving translational research in sex-specific effects of comorbidities and risk factors in ischaemic heart disease and cardioprotection: position paper and recommendations of the ESC Working Group on Cellular Biology of the Hear","perrino",2021,"review","","","","x","","cellular and molecular mechanisms","","ischemic heart disease","","","","","","","",""
"7","Cardiovascular Disease and Primary Ovarian Insufficiency","wellons",2011,"","","","","","","xci","","cardiovascular disease, primary ovarian insufficiency","","","","","","x","",""
"8","Gender imbalance confounds meta-analysis of pre-eclampsia microarray studies of the placental transcriptome","dopierala",2017,"meta-analysis","XIST, STS and FHL1 (exci); CD24P4, DDX3Y, EIF1AY, EIF4A1P2, KDM5D, RPS4Y1, UTY & USP9Y (chrY)","","","x","","exci, gene regulation","","pre-eclampsia","feto-placental sex","","developed method to ID sex of samples from published pre-eclampsia microarray studies","","","","",""
"9","Approaching sex differences in cardiovascular non-coding rna research","jusic",2020,"review","","","","","","non-coding RNAs ","","cardiovascular disease","","","","","","","",""
"10","Circulating microRNAs to predict heart failure after acute myocardial infarction in women","lalem",2019,"review","","","","yes?","","left ventricular remodeling after acute myocardial infarction, microRNAs","","acute myocardial infarction","","","","","","","",""
"11","Histone demethylase kdm6a contributes to X chromosome dependent ischemia/reperfusion injury via epigenetic regulation","li",2015,"experiment","KDM6A","","","x","","sex chromosome differences, exci, xci","","ischemia, reperifusion","","","mouse models, rnaseq, mouse heart analysis","","","","",""
"12","Sex Dimorphism in Pulmonary Hypertension: The Role of the Sex Chromosomes","kostyunina",2021,"review","","","","x","","","","pulmonary hypertension","","","","","","","",""
"13","An XY sex chromosome complement in females confers susceptibility and rupture of angiotensin II-induced abdominal aortic aneurysms in hypercholesterolemic female mice","alsiraj",2016,"experiment","XY chromosome","","","x","","xy complementation","","angii-induced abdominal aortic aneurysms","","","mouse knockout models; injection with testosterone; DNA microarrays","","","","",""
"14","Sex differences in cardiomyopathies","meyer",2014,"review","","","","x","","","","cardiomyopathies","","","","","","","",""
"15","Gender and cardiovascular disease: are sex-biased microRNA networks a driving force behind heart failure with preserved ejection fraction in women?","florjin",2018,"","","","","x","","preserved ejection fraction, miRNA expression","","cardiovascular disease","","","","","","","",""
"16","Matters of the heart: Cellular sex differences","Walker",2021,"review","","","","x","","","","cardiovascular","","","","","","","",""
"17","An introduction to epigenetics in cardiovascular development, disease, and sexualization","Cunningham",2018,"review","","","","","","epigenetics","","cardiovascular, cardiovascular system","","","","","","","",""
"18","Approaching sex differences in cardiovascular non-coding rna research","Jusic",2020,"review","","ncRNAs","","x","","","","cardiovascular, cvd","","","","","","","",""
