"","X","title","year","journal","authors","abstract","publication.type","genetics","genomic","evolution","dosage..test.","mechanism","issue","epigenetics","methods","Ancestry","unsure","Irrelevant","Notes"
"1",96,"Sexual Inequality in the Cancer Cell",2018,"Cancer Research","Arnold, A. P. and Disteche, C. M.","Investigating sex differences in cancer will improve therapy for both sexes and discover sex-specific protective mechanisms. Two recent analyses by Lopes-Ramos and colleagues and Li and colleagues point to specific gene regulatory networks and genomic alterations associated with sex differences in tumor incidence and progression. Integrating this information with emerging concepts about sex biases in the genome may help focus attention on factors that shift the odds for tumor growth. (C) 2018 AACR.","review","","","","","","cancer","","","","","","very relevant"
"2",98,"Long noncoding RNA FTX inhibits hepatocellular carcinoma proliferation and metastasis by binding MCM2 and miR-374a",2016,"Oncogene","Liu, F. and Yuan, J. H. and Huang, J. F. and Yang, F. and Wang, T. T. and Ma, J. Z. and Zhang, L. and Zhou, C. C. and Wang, F. and Yu, J. and Zhou, W. P. and Sun, S. H.","It has long been known that males are more susceptible than females to hepatocellular carcinoma (HCC), but the reason remains elusive. In this study, we investigated the expression and function of the long noncoding RNA FTX (lnc-FTX), an X-inactive-specific transcript (XIST) regulator transcribed from the X chromosome inactivation center, in both HCC and HCC gender disparity. lnc-FTX is expressed at higher levels in female livers than in male livers and is significantly downregulated in HCC tissues compared with normal liver tissues. Patients with higher lnc-FTX expression exhibited longer survival, suggesting that lnc-FTX is a useful prognostic factor for HCC patients. lnc-FTX inhibits HCC cell growth and metastasis both in vitro and in vivo. Mechanistically, lnc-FTX represses Wnt/β-catenin signaling activity by competitively sponging miR-374a and inhibits HCC cell epithelial-mesenchymal transition and invasion. In addition, lnc-FTX binds to the DNA replication licensing factor MCM2, thereby impeding DNA replication and inhibiting proliferation in HCC cells. In conclusion, these findings suggest that lnc-FTX may act as a tumor suppressor in HCC through physically binding miR-374a and MCM2. It may also be one of the reasons for HCC gender disparity and may potentially contribute to HCC treatment.","experiment","lnc-FTX, Xist","miR-374a, MCM2","","","","hepatocellular carcinoma (hcc), cancer","","","","","","very relevant"
"3",353,"The role of X-inactivation in the gender bias of patients with acquired alpha-thalassaemia and myelodysplastic syndrome (ATMDS)",2009,"Br J Haematol","Haas, P. S. and Roy, N. B. and Gibbons, R. J. and Deville, M. A. and Fisher, C. and Schwabe, M. and Biss√©, E. and van Dorsselaer, A. and Higgs, D. R. and L√ºbbert, M.","Alpha thalassaemia myelodysplastic syndrome (ATMDS) is an unusual complication of chronic myeloid malignancy that is associated with a striking red cell phenotype. It represents an acquired form of alpha-thalassaemia that most commonly arises in the context of myelodysplasia. It has recently been shown that this condition occurs in association with somatic mutations of a known X-encoded trans-acting regulator of alpha globin gene (HBA) expression, ATRX. There is an unexplained, strong male preponderance of individuals with the ATMDS phenotype with a >5:1 male-female ratio and furthermore, all the somatic ATRX mutations described to date have been in males. Here we report the identification, in a single centre, of two females with ATMDS and mutations in the ATRX gene, proving that ATMDS associated with such mutations may occur, albeit rarely, in females. It seemed possible that females might be less likely to develop ATMDS if the inactivated copy of the ATRX gene (ATRX) became progressively re-activated throughout life. This study ruled out this hypothesis by investigating the pattern of ATRX inactivation in a cross-sectional analysis of normal females at ages ranging from newborn to 90 years.","experiment","ATRX","x","","","EXCI","alpha thalassaemia myelodysplastic syndrome, myeloid malignancy, ","case study","","","","","very relevant"
"4",184,"Long noncoding RNA XIST: Mechanisms for X chromosome inactivation, roles in sex-biased diseases, and therapeutic opportunities",2022,"Genes and Diseases","Li, J. and Ming, Z. and Yang, L. and Wang, T. and Liu, G. and Ma, Q.","Sexual dimorphism has been reported in various human diseases including autoimmune diseases, neurological diseases, pulmonary arterial hypertension, and some types of cancers, although the underlying mechanisms remain poorly understood. The long noncoding RNA (lncRNA) X-inactive specific transcript (XIST) is involved in X chromosome inactivation (XCI) in female placental mammals, a process that ensures the balanced expression dosage of X-linked genes between sexes. XIST is abnormally expressed in many sex-biased diseases. In addition, escape from XIST-mediated XCI and skewed XCI also contribute to sex-biased diseases. Therefore, its expression or modification can be regarded as a biomarker for the diagnosis and prognosis of many sex-biased diseases. Genetic manipulation of XIST expression can inhibit the progression of some of these diseases in animal models, and therefore XIST has been proposed as a potential therapeutic target. In this manuscript, we summarize the current knowledge about the mechanisms for XIST-mediated XCI and the roles of XIST in sex-biased diseases, and discuss potential therapeutic strategies targeting XIST.","review","Xist","","","","XCI, Xist regulation","autoimmune, neurological, pulmonary hypertension, cancer","","","","","","very relevant, exactly what we want to write"
"5",170,"Gender, aging and longevity in humans: an update of an intriguing/neglected scenario paving the way to a gender-specific medicine",2016,"Clinical Science","Ostan, R. and Monti, D. and Gueresi, P. and Bussolotto, M. and Franceschi, C. and Baggio, G.","Data showing a remarkable gender difference in life expectancy and mortality, including survival to extreme age, are reviewed starting from clinical and demographic data and stressing the importance of a comprehensive historical perspective and a gene-environment/lifestyle interaction. Gender difference regarding prevalence and incidence of the most important age-related diseases, such as cardiovascular and neurodegenerative diseases, cancer, Type 2 diabetes, disability, autoimmunity and infections, are reviewed and updated with particular attention to the role of the immune system and immunosenescence. On the whole, gender differences appear to be pervasive and still poorly considered and investigated despite their biomedical relevance. The basic biological mechanisms responsible for gender differences in aging and longevity are quite complex and still poorly understood. The present review focuses on centenarians and their offspring as a model of healthy aging and summarizes available knowledge on three basic biological phenomena, i.e. age-related X chromosome inactivation skewing, gut microbiome changes and maternally inherited mitochondrial DNA genetic variants. In conclusion, an appropriate gender-specific medicine approach is urgently needed and should be systematically pursued in studies on healthy aging, longevity and age-related diseases, in a globalized world characterized by great gender differences which have a high impact on health and diseases.","review","","","","","XCI","cardiovascular, neurological, cancer, type 2 diabetes, disability, autoimmune, infection","","","","","","relevant"
"6",99,"Plastin 3 in health and disease: a matter of balance",2021,"Cellular and Molecular Life Sciences","Wolff, L. and Strathmann, E. A. and Müller, I. and Mählich, D. and Veltman, C. and Niehoff, A. and Wirth, B.","For a long time, PLS3 (plastin 3, also known as T-plastin or fimbrin) has been considered a rather inconspicuous protein, involved in F-actin-binding and -bundling. However, in recent years, a plethora of discoveries have turned PLS3 into a highly interesting protein involved in many cellular processes, signaling pathways, and diseases. PLS3 is localized on the X-chromosome, but shows sex-specific, inter-individual and tissue-specific expression variability pointing towards skewed X-inactivation. PLS3 is expressed in all solid tissues but usually not in hematopoietic cells. When escaping X-inactivation, PLS3 triggers a plethora of different types of cancers. Elevated PLS3 levels are considered a prognostic biomarker for cancer and refractory response to therapies. When it is knocked out or mutated in humans and mice, it causes osteoporosis with bone fractures; it is the only protein involved in actin dynamics responsible for osteoporosis. Instead, when PLS3 is upregulated, it acts as a highly protective SMN-independent modifier in spinal muscular atrophy (SMA). Here, it seems to counteract reduced F-actin levels by restoring impaired endocytosis and disturbed calcium homeostasis caused by reduced SMN levels. In contrast, an upregulation of PLS3 on wild-type level might cause osteoarthritis. This emphasizes that the amount of PLS3 in our cells must be precisely balanced; both too much and too little can be detrimental. Actin-dynamics, regulated by PLS3 among others, are crucial in a lot of cellular processes including endocytosis, cell migration, axonal growth, neurotransmission, translation, and others. Also, PLS3 levels influence the infection with different bacteria, mycosis, and other pathogens.","experiment","PLS3","","","x","cell development","cancer, osteoporosis","","","","","","When escaping X-inactivation, PLS3 triggers a plethora of different types of cancers."
"7",155,"CHST7 Gene Methylation and Sex-Specific Effects on Colorectal Cancer Risk",2019,"Digestive Diseases and Sciences","Bi, H. R. and Liu, Y. P. and Pu, R. and Xia, T. T. and Sun, H. R. and Huang, H. and Zhang, L. and Zhang, Y. Y. and Liu, Y. and Xu, J. and Rong, J. S. and Zhao, Y. S.","BackgroundX chromosome aberrations are involved in carcinogenesis and are associated with gender differences in cancer development. Abnormal DNA methylation also contributes to cancer. Carbohydrate Sulfotransferase 7 (CHST7), encoded by the X chromosome, is abnormally expressed during tumor development. However, its impact on colorectal cancer (CRC) and the effect of CHST7 methylation on sex-specific CRC risk remain unclear.AimsTo investigate the effect of CHST7 methylation in white blood cells on CRC risk and to evaluate its impact on gender-specific differences.MethodsCHST7 methylation in white blood cells was determined using methylation-sensitive high-resolution melting. A propensity score analysis was performed to control potential confounders. Furthermore, extensive sensitivity analyses were applied to assess the robustness of our findings. In addition, we validated the initial findings with a GEO dataset (GSE51032).ResultsCHST7 hypermethylation in white blood cells was associated with an increased CRC risk [odds ratio (OR)(adj)=4.447, 95% confidence interval (CI) 2.662-7.430; p<0.001]. The association was validated with the GEO dataset (ORadj=2.802, 95% CI 1.235-6.360; p=0.014). In particular, CHST7 hypermethylation significantly increased the CRC risk in females (ORadj=7.704, 95% CI 4.222-14.058; p<0.001) and younger patients (<= 60years) (ORadj=5.755, 95% CI 2.540-13.038; p<0.001). Subgroup analyses by tumor location and Duke's stage also observed these associations.ConclusionCHST7 methylation in white blood cells is positively associated with CRC risk, especially in females, and may potentially serve as a blood-based predictive biomarker for CRC risk.","experiment","CHST7","","","","","colorectal cancer, cancer","DNA methylation","-","","","",""
"8",157,"X inactivation, female mosaicism, and sex differences in renal diseases",2008,"Journal of the American Society of Nephrology","Migeon, B. R.","A good deal of sex differences in kidney disease is attributable to sex differences in the function of genes on the X chromosome. Males are uniquely vulnerable to mutations in their single copy of X-linked genes, whereas females are often mosaic, having a mixture of cells expressing different sets of X-linked genes. This cellular mosaicism created by X inactivation in females is most often advantageous, protecting carriers of X-linked mutations from the severe clinical manifestations seen in males. Even subtle differences in expression of many of the 1100 X-linked genes may contribute to sex differences in the clinical expression of renal diseases. Copyright © 2008 by the American Society of Nephrology.","","","X chromosome mosaicism","","","X chromosome mosaicism","kidney","","","","","",""
"9",160,"Uncovering Modifier Genes of X-Linked Alport Syndrome Using a Novel Multiparent Mouse Model",2021,"J Am Soc Nephrol","Takemon, Y. and Wright, V. and Davenport, B. and Gatti, D. M. and Sheehan, S. M. and Letson, K. and Savage, H. S. and Lennon, R. and Korstanje, R.","BACKGROUND: Mutations in COL4A5 are responsible for 80% of cases of X-linked Alport Syndrome (XLAS). Although genes that cause AS are well characterized, people with AS who have similar genetic mutations present with a wide variation in the extent of kidney impairment and age of onset, suggesting the activities of modifier genes. METHODS: We created a cohort of genetically diverse XLAS male and female mice using the Diversity Outbred mouse resource and measured albuminuria, GFR, and gene expression. Using a quantitative trait locus approach, we mapped modifier genes that can best explain the underlying phenotypic variation measured in our diverse population. RESULTS: Genetic analysis identified several loci associated with the variation in albuminuria and GFR, including a locus on the X chromosome associated with X inactivation and a locus on chromosome 2 containing Fmn1. Subsequent analysis of genetically reduced Fmn1 expression in Col4a5 knockout mice showed a decrease in albuminuria, podocyte effacement, and podocyte protrusions in the glomerular basement membrane, which support the candidacy of Fmn1 as a modifier gene for AS. CONCLUSION: With this novel approach, we emulated the variability in the severity of kidney phenotypes found in human patients with Alport Syndrome through albuminuria and GFR measurements. This approach can identify modifier genes in kidney disease that can be used as novel therapeutic targets.","experiment","COL4A5, Fmn1","","","","albuminuria production","x-linked alport syndrome (xlas), kidney","","mice","","x","",""
"10",197,"Molecular analysis of the Imatinib-induced complete cytogenetic response in chronic myelogenous leukemia",2006,"Leuk Lymphoma","Miglino, M. and Grasso, R. and Varaldo, R. and Fugazza, G. and Colombo, N. and Clavio, M. and Canepa, L. and Garuti, A. and Ibatici, A. and Pierri, I. and Ballerini, F. and Sessarego, M. and Gobbi, M.","The aim of this study was to elucidate the relationship between clonal and normal haematopoiesis in chronic myelogenous leukemia (CML). Thirteen female patients who reached complete cytogenetic response (CCR) after Imatinib treatment were studied. Although all the study patients exhibited a polyclonal pattern of X inactivation, p210 BCR/ABL transcript remained detectable in all cases by nested RT-PCR. This study also demonstrated the presence of p190 transcript in nine out of 13 study patients. A longer follow-up analysis is needed to clarify the prognostic value of these results. The recent observation that clonal cytogenetic abnormalities may occur in CML patients in polyclonal remission after imatinib suggests that a neoplastic stem cell lacking BCR/ABL rearrangement may acquire further cytogenetic alterations other than Philadelphia chromosome.","experiment","BCR/ABL","","","","haematopoiesis","leukemia, cancer","","","","","",""
