"","X","title","year","journal","authors","abstract","publication.type","genetics","genomic","evolution","dosage..test.","mechanism","issue","epigenetics","methods","Ancestry","unsure","Irrelevant","Notes"
"1",181,"SMC1A expression and mechanism of pathogenicity in probands with X-linked Cornelia de Lange Syndrome",2009,"Human Mutation","Liu, J. and Feldman, R. and Zhang, Z. and Deardorff, M. A. and Haverfield, E. V. and Kaur, M. and Li, J. R. and Clark, D. and Kline, A. D. and Waggoner, D. J. and Das, S. and Jackson, L. G. and Krantz, I. D.","Cornelia de Lange Syndrome (CdLS) is a dominantly inherited heterogeneous genetic disorder with multisystem abnormalities. Sixty percent of probands with CdLS have heterozygous mutations in the Nipped-B-like (NIPBL) gene, 5% have mutations in the SMC1A gene, and one proband was found to have a mutation in the SMC3 gene. Cohesin is a multisubunit complex consisting of a SMC1A and SMC3 heterodimer and two non-SMC subunits. SMC1A is located on the human X chromosome and is reported to escape X inactivation. Twenty-nine unrelated CdLS probands with 21 unique SMC1A mutations have been identified including seven males. All mutations identified to date are either missense or small deletions, with all presumably preserving the protein open reading frame. Both wild-type and mutant alleles are expressed. Females quantitatively express twice the amount of SMC1A mRNA compared to males. The transcriptional profiling of 23 selected genes is different in SMC1A mutant probands, controls, and NIPBL mutant probands. These results suggest that mechanistically SMC1A-related CdLS is not due to altered levels of the SMC1A transcript, but rather that the mutant proteins maintain a residual function in males and enact a dominant negative effect in females. © 2009 Wiley-Liss, Inc.","experiment","Nipped-B-like (NIPBL), SMC1A, SMC3","","","","EXCI","cornelia de lange syndrome (cdls)","","","","","","relevant"
"2",390,"Segregation of a totally skewed pattern of X chromosome inactivation in four familial cases of Rett syndrome without MECP2 mutation: Implications for the disease",2001,"Journal of Medical Genetics","Villard, L. and L√©vy, N. and Xiang, F. and Kpebe, A. and Labelle, V. and Chevillard, C. and Zhang, Z. and Schwartz, C. E. and Tardieu, M. and Chelly, J. and Anvret, M. and Font√®s, M.","Background - Rett syndrome is a neurodevelopmental disorder affecting only girls; 99.5% of Rett syndrome cases are sporadic, although several familial cases have been reported. Mutations in the MECP2 gene were identified in approximately 70-80% of sporadic Rett syndrome cases. Methods - We have screened the MECP2 gene coding region for mutations in five familial cases of Rett syndrome and studied the patterns of X chromosome inactivation (XCI) in each girl. Results - We found a mutation in MECP2 in only one family. In the four families without mutation in MECP2, we found that (1) all mothers exhibit a totally skewed pattern of XCI; (2) six out of eight affected girls also have a totally skewed pattern of XCI; and (3) it is the paternally inherited X chromosome which is active in the patients with a skewed pattern of XCI. Given that the skewing of XCI is inherited in our families, we genotyped the whole X chromosome using 32 polymorphic markers and we show that a locus potentially responsible for the skewed XCI in these families could be located on the short arm of the X chromosome. Conclusion - These data led us to propose a model for familial Rett syndrome transmission in which two traits are inherited, an X linked locus abnormally escaping X chromosome inactivation and the presence of a skewed XCI in carrier women.","experiment","MECP2","x","","","skewed XCI, EXCI","rett syndrome, neurological","","pedigree","","","","relevant"
"3",55,"Incontinentia Pigmenti: A Summary Review of This Rare Ectodermal Dysplasia With Neurologic Manifestations, Including Treatment Protocols",2017,"Journal of pediatric health care : official publication of National Association of Pediatric Nurse Associates & Practitioners","Greene-Roethke, C.","Incontinentia pigmenti is a rare neuroectodermal dysplasia caused by a defect in the IKBKG gene (formerly known as NEMO). There are 27.6 new cases per year worldwide; 65% to 75% are sporadic mutations, and 25% to 35% are familial. It is usually lethal in males, but females survive because of X-inactivation mosaicism. The disorder is typically identified by unique skin findings, a series of four stages that emerge throughout the first year of life. The central nervous system manifestations in the eye and in the brain cause the most disability. Defects of hair, nails, and teeth occur, and there can be other systemic involvement. Surveillance protocols for medical management have been established by the Incontinentia Pigmenti International Foundation. This article will summarize the existing knowledge of this condition and detail the protocols to help manage the care of the infant or child who presents with incontinentia pigmenti.","review","IKBKG","","","","","incontinentia pigmenti, neuroectodermal dysplasia","","","","x","maybe",""
"4",72,"Sex differences in Mecp2-mutant Rett syndrome model mice and the impact of cellular mosaicism in phenotype development",2020,"Brain Res","Ribeiro, M. C. and MacDonald, J. L.","There is currently no effective treatment for Rett syndrome (RTT), a severe X-linked progressive neurodevelopmental disorder caused by mutations in the transcriptional regulator MECP2. Because MECP2 is subjected to X-inactivation, most affected individuals are female heterozygotes who display cellular mosaicism for normal and mutant MECP2. Males who are hemizygous for mutant MECP2 are more severely affected than heterozygous females and rarely survive. Mecp2 loss-of-function is less severe in mice, however, and male hemizygous null mice not only survive until adulthood, they have been the most commonly studied model system. Although heterozygous female mice better recapitulate human RTT, they have not been as thoroughly characterized. This is likely because of the added experimental challenges that they present, including delayed and more variable phenotypic progression and cellular mosaicism due to X-inactivation. In this review, we compare phenotypes of Mecp2 heterozygous female mice and male hemizygous null mouse models. Further, we discuss the complexities that arise from the many cell-type and tissue-type specific roles of MeCP2, as well as the combination of cell-autonomous and non-cell-autonomous disruptions that result from Mecp2 loss-of-function. This is of particular importance in the context of the female heterozygous brain, composed of a mixture of MeCP2+ and MeCP2- cells, the ratio of which can alter RTT phenotypes in the case of skewed X-inactivation. The goal of this review is to provide a clearer understanding of the pathophysiological differences between the mouse models, which is an essential consideration in the design of future pre-clinical studies.","review","MECP2","","","","MeCP2 functions","rett syndrome","","mice","","x","","The goal of this review is to provide a clearer understanding of the pathophysiological differences between the mouse models"
"5",151,"Molecular analysis of females manifesting thyroxine-binding globulin (TBG) deficiency: Selective X-chromosome inactivation responsible for the difference between phenotype and genotype in TBG-deficient females",1996,"Journal of Clinical Endocrinology and Metabolism","Okamoto, H. and Mori, Y. and Tani, Y. and Nakagomi, Y. and Sano, T. and Ohyama, K. and Saito, H. and Oiso, Y.","T4-binding globulin (TBG) is the major transport protein of thyroid hormone in man. Inherited TBG abnormalities were manifested fully in hemizygous males and partially in heterozygous females and transmitted in an X-chromosome-linked fashion, compatible with its location on Xq21-22. We have previously reported that complete deficiency (CD) and partial deficiency (PD) in Japanese subjects resulted from two distinct mutations of the TBG gene, TBG-CDJ and TBG-PDJ, respectively. Recently, we encountered a female manifesting TBG-CD and herein investigated the molecular mechanisms. She was found to possess TBG-CDJ and common-type TBG (TBG-C) alleles by characterizing the TBG gene. Then, X-chromosome inactivation status was evaluated in her family members using a phosphoglycerate kinase (PGK) gene, located on Xq13. Three TBG-CDJ heterozygotes and one unaffected female, confirmed to be PGK heterozygotes for a polymorphic BstXI site, were analyzed. Only the CD female was shown to undergo selective inactivation by examining the BstXI site in amplified products after digestion with a methylation sensitive enzyme, HpaII. Among an additional eight informative females with TBG deficiency, one heterozygous female for TBG-PDJ shared this selective inactivation pattern. Moreover, the X-chromosome with TBG-C was suggested to be inactivated selectively from the linkage of PGK and TBG alleles recognized in eight of nine family members. Selective X-chromosome inactivation was considered to be the cause of a female heterozygous for TBG- CDJ or -PDJ manifesting the same phenotype as a hemizygote.","experiment","T4-binding globulin (TBG)","","","","XCI","thyroxine-binding globulin (tbg) deficiency","","","","","","Selective X-chromosome inactivation was considered to be the cause of a female heterozygous for TBG- CDJ or -PDJ manifesting the same phenotype as a hemizygote."
"6",160,"Uncovering Modifier Genes of X-Linked Alport Syndrome Using a Novel Multiparent Mouse Model",2021,"J Am Soc Nephrol","Takemon, Y. and Wright, V. and Davenport, B. and Gatti, D. M. and Sheehan, S. M. and Letson, K. and Savage, H. S. and Lennon, R. and Korstanje, R.","BACKGROUND: Mutations in COL4A5 are responsible for 80% of cases of X-linked Alport Syndrome (XLAS). Although genes that cause AS are well characterized, people with AS who have similar genetic mutations present with a wide variation in the extent of kidney impairment and age of onset, suggesting the activities of modifier genes. METHODS: We created a cohort of genetically diverse XLAS male and female mice using the Diversity Outbred mouse resource and measured albuminuria, GFR, and gene expression. Using a quantitative trait locus approach, we mapped modifier genes that can best explain the underlying phenotypic variation measured in our diverse population. RESULTS: Genetic analysis identified several loci associated with the variation in albuminuria and GFR, including a locus on the X chromosome associated with X inactivation and a locus on chromosome 2 containing Fmn1. Subsequent analysis of genetically reduced Fmn1 expression in Col4a5 knockout mice showed a decrease in albuminuria, podocyte effacement, and podocyte protrusions in the glomerular basement membrane, which support the candidacy of Fmn1 as a modifier gene for AS. CONCLUSION: With this novel approach, we emulated the variability in the severity of kidney phenotypes found in human patients with Alport Syndrome through albuminuria and GFR measurements. This approach can identify modifier genes in kidney disease that can be used as novel therapeutic targets.","experiment","COL4A5, Fmn1","","","","albuminuria production","x-linked alport syndrome (xlas), kidney","","mice","","x","",""
"7",162,"Phenotypic and molecular analyses of X-linked dystonia-parkinsonism (""lubag"") in women",2004,"Archives of Neurology","Evidente, V. G. H. and Nolte, D. and Niemann, S. and Advincula, J. and Mayo, M. C. and Natividad, F. F. and Müller, U.","Background: X-linked dystonia-parkinsonism (XDP) or ""lubag"" is an X-linked recessive disorder that afflicts Filipino men, and rarely, women. Genetic confirmation is performed through haplotyping or detection of disease-specific changes in the DYT3 gene. Objective: To describe the phenotypes and molecular data of 8 symptomatic female patients with XDP from 5 kindreds. Methods: Case series. Results: The average age of onset of symptoms was 52 years (range, 26-75 years). Six of 8 patients had parkinsonism, whereas only 1 had dystonia. The initial symptom was focal tremor or parkinsonism in 4, chorea in 3, and focal dystonia (cervical) in 1. Seven of 8 patients had slow or no progression of their symptoms and required no treatment. The patient with disabling parkinsonism was responsive to carbidopa/levodopa. Seven were heterozygous for the XDP haplotype, whereas 1 was homozygous. Conclusions: The phenotypes of female patients with XDP may include parkinsonism, dystonia, myoclonus, tremor, and chorea. The dystonia, if present, is mild and usually nonprogressive. Similar to men with XDP, parkinsonism is a frequent symptom in women. In contrast to men, affected women have a more benign phenotype, older age of onset, and milder course. Extreme X-inactivation mosaic may be a cause of symptoms in women with XDP, but a homozygously affected woman has also been observed.","experiment","DYT3"," X chromosome mosaicism","","","","x-linked dystonia-parkinsonism (xdp)","","","Filipino","","",""
"8",178,"Tissue-specific distribution of an alternatively spliced COL4A5 isoform and non-random X chromosome inactivation reflect phenotypic variation in heterozygous X-linked Alport syndrome",2006,"Nephrology Dialysis Transplantation","Shimizu, Y. and Nagata, M. and Usui, J. and Hirayama, K. and Yoh, K. and Yamagata, K. and Kobayashi, M. and Koyama, A.","A novel type of hereditary transmission of COL4A5 in a Japanese family with X-linked Alport syndrome was detected through analysis of cDNA sequences and an X-chromosome inactivation assay. A female patient with moderately altered renal function, who was diagnosed with Alport syndrome by renal biopsy, and her mother, who was undergoing maintenance haemodialysis, showed similar tissue-specific expression of a truncated isoform of COL4A5, which was generated by alternative splicing without a splice-site mutation. Expression of the truncated isoform occurred in the renal specimen derived from the patient, but not in specimens from controls. Genomic analysis revealed two point mutations (c.4821 + 121, T>C; c.4822-151_150, ins T) in intron 49 of COL4A5 from the patient. The peripheral blood mononuclear cells of the patient and her mother showed non-random lyonization. While the females showed only renal impairment, an affected male in the same family suffered from severe renal insufficiency, visual defect and hearing disturbances. Hence, we suggest that this type of heredity COL4A5 presents with phenotypic variation in female heterozygous X-linked Alport syndrome patients. © 2006 Oxford University Press.","experiment","COL4A5","","","","","x-linked alport syndrome (xlas)","","","Japanese","x","",""
"9",196,"X-inactivation of HSD17B10 revealed by cDNA analysis in two female patients with 17Β-hydroxysteroid dehydrogenase 10 deficiency",2010,"European Journal of Human Genetics","García-Villoria, J. and Gort, L. and Madrigal, I. and Fons, C. and Fernández, C. and Navarro-Sastre, A. and Milà, M. and Briones, P. and García-Cazorla, A. and Campistol, J. and Ribes, A.","17Β-Hydroxysteroid dehydrogenase 10 (HSD10) is a mitochondrial enzyme involved in the degradation pathway of isoleucine and branched-chain fatty acids. The gene encoding HSD10, HSD17B10, has been reported as one of the few genes that escapes X-inactivation. We previously studied two female patients with HSD10 deficiency, one of them was severely affected and the other presented a mild phenotype. To elucidate as to why these two carriers were so differently affected, cDNA analyses were performed. The HSD17B10 cDNA of eight control cell lines, two hemizygous patients and two carriers was obtained from cultured fibroblasts, amplified by PCR and sequenced by standard methods. All HSD17B10 cDNAs were quantified by real-time PCR. In the fibroblasts of the female patient who presented with the severe phenotype, only the mutant allele was identified in the cDNA sequence, which was further confirmed by relative quantification (RQ) of HSD17B10 cDNA. This is in agreement with an unfavourable X-inactivation. The other female patient, with slight clinical affectation, showed the presence of both mutant and wild-type alleles in the cDNA sequence, which was confirmed by RQ of HSD17B10 cDNA in fibroblasts. This is in line with normal X-inactivation and the expression of both alleles in different cells (functional mosaicism). RQ results of HSD17B10 cDNA did not differ significantly between male and female controls, which indicate that the genetic doses of mRNA of HSD17B10 was the same in both sexes. In conclusion, these results suggest that the HSD17B10 gene does not escape X-inactivation as has been reported previously. © 2010 Macmillan Publishers Limited All rights reserved.","experiment","HSD10, HSD17B10","","","","EXCI","hsd10 deficiency","","cDNA, PCR","","","","Shows HSD10 does not escape XCI"
"10",323,"Anatomical and Clinical Aspects of Klinefelter's Syndrome",2016,"Clinical Anatomy","Bird, R. J. and Hurren, B. J.","Klinefelter's syndrome, the most common sex disorder associated with chromosomal aberrations, is characterized by a plethora of clinical features. Parameters for diagnosis of the syndrome are constantly expanding as new anatomical and hormonal abnormalities are noted, yet Klinefelter's remains underdiagnosed and underreported. This review outlines the key anatomical characteristics associated with the syndrome, which are currently used for clinical diagnosis, or may provide means for improving diagnosis in the future. (C) 2016 Wiley Periodicals, Inc.","review","","","","","anatomical characteristics","klinefelter's syndrome","","","","x","",""
