"","X","title","year","journal","authors","abstract","publication.type","genetics","genomic","evolution","dosage..test.","mechanism","issue","epigenetics","methods","Ancestry","unsure","Irrelevant","Notes"
"1",184,"Long noncoding RNA XIST: Mechanisms for X chromosome inactivation, roles in sex-biased diseases, and therapeutic opportunities",2022,"Genes and Diseases","Li, J. and Ming, Z. and Yang, L. and Wang, T. and Liu, G. and Ma, Q.","Sexual dimorphism has been reported in various human diseases including autoimmune diseases, neurological diseases, pulmonary arterial hypertension, and some types of cancers, although the underlying mechanisms remain poorly understood. The long noncoding RNA (lncRNA) X-inactive specific transcript (XIST) is involved in X chromosome inactivation (XCI) in female placental mammals, a process that ensures the balanced expression dosage of X-linked genes between sexes. XIST is abnormally expressed in many sex-biased diseases. In addition, escape from XIST-mediated XCI and skewed XCI also contribute to sex-biased diseases. Therefore, its expression or modification can be regarded as a biomarker for the diagnosis and prognosis of many sex-biased diseases. Genetic manipulation of XIST expression can inhibit the progression of some of these diseases in animal models, and therefore XIST has been proposed as a potential therapeutic target. In this manuscript, we summarize the current knowledge about the mechanisms for XIST-mediated XCI and the roles of XIST in sex-biased diseases, and discuss potential therapeutic strategies targeting XIST.","review","Xist","","","","XCI, Xist regulation","autoimmune, neurological, pulmonary hypertension, cancer","","","","","","very relevant, exactly what we want to write"
"2",390,"Segregation of a totally skewed pattern of X chromosome inactivation in four familial cases of Rett syndrome without MECP2 mutation: Implications for the disease",2001,"Journal of Medical Genetics","Villard, L. and L√©vy, N. and Xiang, F. and Kpebe, A. and Labelle, V. and Chevillard, C. and Zhang, Z. and Schwartz, C. E. and Tardieu, M. and Chelly, J. and Anvret, M. and Font√®s, M.","Background - Rett syndrome is a neurodevelopmental disorder affecting only girls; 99.5% of Rett syndrome cases are sporadic, although several familial cases have been reported. Mutations in the MECP2 gene were identified in approximately 70-80% of sporadic Rett syndrome cases. Methods - We have screened the MECP2 gene coding region for mutations in five familial cases of Rett syndrome and studied the patterns of X chromosome inactivation (XCI) in each girl. Results - We found a mutation in MECP2 in only one family. In the four families without mutation in MECP2, we found that (1) all mothers exhibit a totally skewed pattern of XCI; (2) six out of eight affected girls also have a totally skewed pattern of XCI; and (3) it is the paternally inherited X chromosome which is active in the patients with a skewed pattern of XCI. Given that the skewing of XCI is inherited in our families, we genotyped the whole X chromosome using 32 polymorphic markers and we show that a locus potentially responsible for the skewed XCI in these families could be located on the short arm of the X chromosome. Conclusion - These data led us to propose a model for familial Rett syndrome transmission in which two traits are inherited, an X linked locus abnormally escaping X chromosome inactivation and the presence of a skewed XCI in carrier women.","experiment","MECP2","x","","","skewed XCI, EXCI","rett syndrome, neurological","","pedigree","","","","relevant"
"3",170,"Gender, aging and longevity in humans: an update of an intriguing/neglected scenario paving the way to a gender-specific medicine",2016,"Clinical Science","Ostan, R. and Monti, D. and Gueresi, P. and Bussolotto, M. and Franceschi, C. and Baggio, G.","Data showing a remarkable gender difference in life expectancy and mortality, including survival to extreme age, are reviewed starting from clinical and demographic data and stressing the importance of a comprehensive historical perspective and a gene-environment/lifestyle interaction. Gender difference regarding prevalence and incidence of the most important age-related diseases, such as cardiovascular and neurodegenerative diseases, cancer, Type 2 diabetes, disability, autoimmunity and infections, are reviewed and updated with particular attention to the role of the immune system and immunosenescence. On the whole, gender differences appear to be pervasive and still poorly considered and investigated despite their biomedical relevance. The basic biological mechanisms responsible for gender differences in aging and longevity are quite complex and still poorly understood. The present review focuses on centenarians and their offspring as a model of healthy aging and summarizes available knowledge on three basic biological phenomena, i.e. age-related X chromosome inactivation skewing, gut microbiome changes and maternally inherited mitochondrial DNA genetic variants. In conclusion, an appropriate gender-specific medicine approach is urgently needed and should be systematically pursued in studies on healthy aging, longevity and age-related diseases, in a globalized world characterized by great gender differences which have a high impact on health and diseases.","review","","","","","XCI","cardiovascular, neurological, cancer, type 2 diabetes, disability, autoimmune, infection","","","","","","relevant"
"4",56,"Androgen receptor gene and sex-specific Alzheimer's disease",2013,"Neurobiology of Aging","Ferrari, R. and Dawoodi, S. and Raju, M. and Thumma, A. and Hynan, L. S. and Maasumi, S. H. and Reisch, J. S. and O'Bryant, S. and Jenkins, M. and Barber, R. and Momeni, P.","Women are at a 2-fold risk of developing late-onset Alzheimer's disease (AD) (onset at 65 years of age or older) compared with men. During perimenopausal years, women undergo hormonal changes that are accompanied by metabolic, cardiovascular, and inflammatory changes. These all together have been suggested as risk factors for late-onset AD. However, not all perimenopausal women develop AD; we hypothesize that certain genetic factors might underlie the increased susceptibility for developing AD in postmenopausal women. We investigated the Androgen Receptor gene (. AR) in a clinical cohort of male and female AD patients and normal control subjects by sequencing all coding exons and evaluating the length and distribution of the CAG repeat in exon 1. We could not establish a correlation between the repeat length, sex, and the disease status, nor did we identify possible pathogenic variants. AR is located on the X chromosome; to assess its role in AD, X-inactivation patterns will need to be studied to directly correlate the actual expressed repeat length to a possible sex-specific phenotypic effect. © 2013.","experiment","Androgen Receptor gene (AR)","yes","","","","alzheimer's disease","-","case controlled study, expression data","","x","x","No results "
"5",57,"Genomic imprinting on the X chromosome: implications for brain and behavioral phenotypes",2010,"Epigenetics and Neuropsychiatric Diseases: Mechanisms Mediating Nature and Nurture","Davies, W.","Imprinted genes, in contrast to most mammalian genes, are monoallelically expressed in a parent-of-origin dependent manner. The idiosyncratic expression profile associated with imprinted genes arises from the differential epigenetic marking of the alleles in the paternal and maternal germlines. Although small in number, imprinted genes can profoundly influence key developmental and physiological processes, including those in the brain; work in animal models and in humans has shown that such genes can affect behavioral traits and cognition and may confer vulnerability to common mental illnesses. As a consequence of how the X chromosome is inherited, X-linked imprinting may elicit or indeed attenuate sexually dimorphic phenotypes. Thus, studying X-linked imprinting is likely to provide important general information about the evolutionary and mechanistic underpinnings of imprinting, as well as the molecular processes underlying sex-specific neurobiology and sex-biased vulnerability to psychiatric disorders.","","","x","x","","imprinting","neurological","yes, imprinting","","","","",""
"6",65,"Sexual Dimorphism of Early Transcriptional Reprogramming in Dorsal Root Ganglia After Peripheral Nerve Injury",2021,"Front Mol Neurosci","Chernov, A. V. and Shubayev, V. I.","Peripheral nerve injury induces genome-wide transcriptional reprogramming of first-order neurons and auxiliary cells of dorsal root ganglia (DRG). Accumulating experimental evidence suggests that onset and mechanistic principles of post-nerve injury processes are sexually dimorphic. We examined largely understudied aspects of early transcriptional events in DRG within 24 h after sciatic nerve axotomy in mice of both sexes. Using high-depth RNA sequencing (>50 million reads/sample) to pinpoint sexually dimorphic changes related to regeneration, immune response, bioenergy, and sensory functions, we identified a higher number of transcriptional changes in male relative to female DRG. In males, the decline in ion channel transcripts was accompanied by the induction of innate immune cascades via TLR, chemokine, and Csf1-receptor axis and robust regenerative programs driven by Sox, Twist1/2, and Pax5/9 transcription factors. Females demonstrated nerve injury-specific transcriptional co-activation of the actinin 2 network. The predicted upstream regulators and interactive networks highlighted the role of novel epigenetic factors and genetic linkage to sex chromosomes as hallmarks of gene regulation post-axotomy. We implicated epigenetic X chromosome inactivation in the regulation of immune response activity uniquely in females. Sexually dimorphic regulation of MMP/ADAMTS metalloproteinases and their intrinsic X-linked regulator Timp1 contributes to extracellular matrix remodeling integrated with pro-regenerative and immune functions. Lexis1 non-coding RNA involved in LXR-mediated lipid metabolism was identified as a novel nerve injury marker. Together, our data identified unique early response triggers of sex-specific peripheral nerve injury regulation to gain mechanistic insights into the origin of female- and male-prevalent sensory neuropathies.","experimental","Timp1, Lexis1","actinin 2 network","","","sensory neuropathies","peripheral nerve injury, neurological","","mice, RNAseq","","","maybe",""
"7",74,"Sex-linked genetic mechanisms and atrial fibrillation risk",2022,"Eur J Med Genet","Wren, G. and Davies, W.","Atrial fibrillation (AF) is a cardiac condition characterised by an irregular heartbeat, atrial pathology and an elevated downstream risk of thrombosis and heart failure, as well as neurological sequelae including stroke and dementia. The prevalence and presentation of, risk factors for, and therapeutic responses to, AF differ by sex, and this sex bias may be partially explained in terms of genetics. Here, we consider four sex-linked genetic mechanisms that may influence sex-biased phenotypes related to AF and provide examples of each: X-linked gene dosage, X-linked genomic imprinting, sex-biased autosomal gene expression, and male-limited Y-linked gene expression. We highlight novel candidate risk genes and pathways that warrant further investigation in clinical and preclinical studies. Understanding the biological basis of sex differences in AF should allow better prediction of disease risk, identification of novel risk/protective factors, and the development of more effective sex-tailored interventions.","","x","x","","x","imprinting, male-limited Y-linked gene expression","atrial fibrillation, cardiac, stroke, dementia","imprinting","","","","","might give example mechanisms that we can use "
"8",76,"Chromosomal and environmental contributions to sex differences in the vulnerability to neurological and neuropsychiatric disorders: Implications for therapeutic interventions",2022,"Prog Neurobiol","Pallier, P. N. and Ferrara, M. and Romagnolo, F. and Ferretti, M. T. and Soreq, H. and Cerase, A.","Neurological and neuropsychiatric disorders affect men and women differently. Multiple sclerosis, Alzheimer's disease, anxiety disorders, depression, meningiomas and late-onset schizophrenia affect women more frequently than men. By contrast, Parkinson's disease, autism spectrum condition, attention-deficit hyperactivity disorder, Tourette's syndrome, amyotrophic lateral sclerosis and early-onset schizophrenia are more prevalent in men. Women have been historically under-recruited or excluded from clinical trials, and most basic research uses male rodent cells or animals as disease models, rarely studying both sexes and factoring sex as a potential source of variation, resulting in a poor understanding of the underlying biological reasons for sex and gender differences in the development of such diseases. Putative pathophysiological contributors include hormones and epigenetics regulators but additional biological and non-biological influences may be at play. We review here the evidence for the underpinning role of the sex chromosome complement, X chromosome inactivation, and environmental and epigenetic regulators in sex differences in the vulnerability to brain disease. We conclude that there is a pressing need for a better understanding of the genetic, epigenetic and environmental mechanisms sustaining sex differences in such diseases, which is critical for developing a precision medicine approach based on sex-tailored prevention and treatment.","review","","","","","","neurological","","","","","","A review on XCI in neurological diseases. Sould def look at for our review"
"9",81,"Sexual congruency in the connectome and translatome of VTA dopamine neurons",2017,"Scientific reports","Chung, A. S. and Miller, S. M. and Sun, Y. and Xu, X. and Zweifel, L. S.","The ventral tegmental area (VTA) dopamine system is important for reward, motivation, emotion, learning, and memory. Dysfunctions in the dopamine system are linked to multiple neurological and neuropsychiatric disorders, many of which present with sex differences. Little is known about the extent of heterogeneity in the basic organization of VTA dopamine neurons with regard to sex. Here, we characterized the cell-specific connectivity of VTA dopamine neurons, their mRNA translational profile, and basic electrophysiological characteristics in a common strain of mice. We found no major differences in these metrics, except for differential expression of a Y-chromosome associated mRNA transcript, Eif2s3y, and the X-linked, X-inactivation transcript Xist. Of note, Xist transcript was significantly enriched in dopamine neurons, suggesting tight regulation of X-linked gene expression to ensure sexual congruency. These data indicate that the features that make dopamine neurons unique are highly concordant and not a principal source of sexual dimorphism.","experiment","Xist, Eif2s3y","","","","dopamine system","neurological","","mice","","","","These data indicate that the features that make dopamine neurons unique are highly concordant and not a principal source of sexual dimorphism."
"10",92,"Fabry disease and cardiovascular involvement",2013,"Current Pharmaceutical Design","Anastasakis, A. and Papatheodorou, E. and Steriotis, A. K.","Fabry disease (FD, OMIM 301500) is a rare X-linked lysosomal storage disorder of the glycosphigolipid metabolism caused by total or partial deficiency of the lysosomal enzyme alpha-galactosidase A (α-gal A). Progressive intralysosomal accumulation of neutral glycosphingolipids in a variety of cell types triggers a cascade of pathophysiological events including cellular death, compromised energy metabolism, small vessel injury, K(Ca)3.1 channel dysfunction in endothelial cells, oxidative stress, impaired autophagosome maturation, tissue ischemia and, importantly, development of irreversible cardiac and renal tissue fibrosis, leading to major multisystemic manifestations. Cardiovascular complications of the disease are very frequent and contribute substantially to disease-related morbidity and mortality in men. Cardiovascular involvement is the leading cause of premature death in heterozygous female patients with FD. Left ventricular hypertrophy is the most prominent cardiac manifestation followed by conduction system disease, valve dysfunction, arrhythmias, vessel disease and coronary microvascular dysfunction. The diagnosis of subclinical forms of the disease, before the development of cardiac hypertrophy, using newer techniques (tissue doppler imaging, strain rate and cardiac magnetic resonance) is crucial to the early initation of the treatment. Greatest benefit of the enzyme replacement treatment is achieved when started at an early stage of the disease before extensive fibrosis or other irreversible tissue damage takes place. Fabry disease should be included in the differential diagnosis algorithm of idiopathic hypertrophy. Determination of Alpha-Gal A activity on plasma and peripheral leukocytes in males and genetic testing in females are the diagnostic gold-standards. © 2013 Bentham Science Publishers.","experiment","","","","","","fabry disease","","","","","x",""
