title,lead author,year,publication type,genetics,genomic,evolution,sex differences,dosage (test),mechanism,cell stuff,issue,development,epigenetics,methods,treatment,race,unsure,irrelevant,notes etc
Placental energy metabolism in health and disease-significance of development and implications for preeclampsia,aye,2022,review,,,,,,metabolic regulation,,placental metabolic dysfunction,x,,,,,,,potentially mention epigenetics/xci based on topics
X-Inactivation Specific Transcript (XIST)-Mediated miRNA Sequestration In NSCLC,marshall,2018,experiment,,,,x,,,,lung adenocarcinoma,,,"cellular (xist, lncrna, mirna); analysis on cell models; qnimql model",,,,,
Influence of gender in muscle disorders,mongini,2014,review,,,,x,,,,muscle disorders,,,,,,,,
Role of X chromosome defects in primary biliary cirrhosis,invernizzi,2007,review,,,,x,,x monosomy,,"primary billiary cirrhosis, chronic liver disease, autoimmune disease",,,,,,,,
Escaping x-inactivation: A new perspective on Kiaa2022-related disorder,le pichon,2016,case study,KIAA2022,,,,,"xci, exci, mono-allelic expression",,"epilepsy, neurological, intellectual disability",,,case study,,,,,
Uncharacterized X-linked protein CXorf21 provides molecular explanation for sex-bias in SLE,harris,2018,,"chromosome x open reading frame 21 (CXorf21), SLC15A4",,,x,chrX gene dose effect,xci ,,complex autoimmune disorders,,,"""We used quantitative real-time PCR, Western blot protein analysis, immunofluorescence, pHrodo™ and Lysosensor™ assays, as well as, in vitro CRISPR-Cas9 knockdown experiments to examine the role of CXorf21 in monocytes and B cell immunity"" (cellular)",,,,,
X-linked inheritance and its implication in the diagnosis and management of female patients in Fabry disease,germain,2010,,,,,,,,,,,,,,,,,no abstract but full article is accessible
"Searching for the ""X factor"" in Sjögren's syndrome female predilection",chatzis,2022,review,,,,x,,???,,systemic autoimmune diseases,,,,,,,,
Rett syndrome: clinical correlates of the newly discovered gene,percy,2001,,MECP2,,,,,xci,,"rett syndrome, neurological",,,,,,,,
"In preeclampsia (PE), placental tissues display specific expression of sexually dimorphic genes",ackerman,2018,study,specific x/y linked genes,,,x,,hormonal signaling profiles,,naternal aberrant vascular reactivity,,,RNAseq of reproductive tissue,,,,,
Expression levels of XIST RNA predict PTSD and chronic pain outcomes in women experiencing motor vehicle collision,linnstaedt,2017,study,,,,x,,xci,,"ptsd, chronic post-traumatic pain",,xist,rna seq,,,,,
DNA methylation analysis of putative schizophrenia susceptibility genes in the human dorsolateral prefrontal cortex across the lifespan,guitart,2010,study,,several specific genes (schizophrenia susceptibility genes),,,,,,"neurological, schizophrenia",,dna methylation,methylation assay,,,,,
Sexual dimorphism in cognition and behaviour: The role of X-linked genes,skuse,2006,,,,x,x,,,,,,,,,,x,,
510 The role of histone demethylase UTX on epidermal homeostasis and carcinogenesis,pacella,2022,exoeriment,UTX,,,,,UTX deletion,,squamous cell carcinoma,,histone modifiers,UTX knockout in mice,,,,,
X-linked agammaglobulinemia,timmers,1991,experiment,XLA gene,,,,,,,X-linked agammaglobulinemia,,,restriction length polymorphisim and gel electrophoreisis,,,x,,
"Similar increase in bone resorption and decrease in bone mass but opposite effects in osteocytic gene expression in female versus male mice with FMR1 deletion, a model of fragile X syndrome",davis,2017,experiment,FMR1,,,x,,FMR1 deletion,,"fragile x syndrome, x-linked disease, bone density",,,mice,,,,,
Statistical Analysis of X Chromosome Variants: Application to Sex-Specific Characteristics of Bipolar Disorder,winham,2019,stat analysis,,,,x,,"xci, 14k chrX snps",,bpd,,,"proposing: ""We propose new approaches to assess the contribution of X chromosome variants inspired by X chromosome biology that account for whether a single nucleotide polymorphism (SNP) may be undergoing or escaping XCI""; meta-analysis",,,,,
Review: Sex and the Human Placenta: Mediating Differential Strategies of Fetal Growth and Survival,clifton,2010,review,,,,x,,sex specific alterations in placental function,,fetal and neonatal morbitiy and mortalitity,x,,,,,,,
Review: Sex Chromosome Evolution and the Expression of Sex-Specific Genes in the Placenta,graves,2010,review,,,,x,,,,,x,,,,,x,,
Programming prenatal female resilience: Epigenetic mechanisms of the X,bale,2016,analysis,OGT (escape XCI),,,x,,prenatal stress,,neurodevelopmental disorders,,histone methylation,mouse model/sequencing/protein biochem,,,,,
Sex Chromosome Effects on Male-Female Differences in Mammals,snell,2018,review,,X/Y,x,x,,exci,,,,,,,,,,
The eXceptional nature of the X chromosome,balaton,2018,review,,chrX,,,,xci/exci,,,,xist,,,,,,seen
Early sex-dependent differences in response to environmental stress,perez-cerezales,2018,review,,,,x,,developmental plasticity/environmental stressors,,,,,,,,x,,
X-linked genes and mental functioning,skuse,2005,,,chrX,,,x,xci,,,,,,,,,,
Sex differences in developmental programming models,aiken,2013,,,,,,,,,,,,,,,x,,
Sex differences and genomics in autoimmune diseases,amur,2012,,,major histochompatability locus genes,,x,,,,autoimmune diseases,,,,,,,,
The X chromosome and immune associated genes,bianchi,2012,review,,chrX,,,x,xci,,autoimmune diseases,,,,,,,,
Autoimmune disease and gender: Plausible mechanisms for the female predominance of autoimmunity,quintero,2012,,,,,x,,,,autoimmune diseases,,,,,,x,,not specific
Women and lung cancer,novello,2006,,,,,,,,,lung cancer,,,,,,,,no abstract but full text is available
Female sex bias in human embryonic stem cell lines,ben-yosef,2011,experiment,,,,x,,,,,,,human embryonic stem cells; meta-analysis,,,,,
The role of the X Chromosome in early human embryo metabolism,groff,2021,experiment,,,,x,x,xci,,embryo metabolism,x,,"rnaseq, ceell models",,,,,
"Single-cell RNA-seq reveals distinct dynamic behavior of sex, chromosomes during human early embryogenesis",zhou,2018,experiment,,x,,x,x,embryonic genome activation,,,x,,rnaseq from human preimplantation embryos,,,,,"""Two of the DE genes on Y chromosome, RPS4Y1 and DDX3Y, achieved abundant expression in all male cells immediately beyond the completion of EGA and could be used as a gender marker in male embryos."""
"Sex differences in COVID-19: candidate pathways, genetics of ACE2, and sex hormones",viveiros,2021,review,ACE2,,,x,,,,"covid, immunity, cardiovascular",,,,,,,,
Gender difference in antidiuretic response to desmopressin,juul,2011,study,,,,x,,,,antidiuretic response to demopressin,,,clinical trials,demopressin,,,,
The physiological and pathophysiological functions of renal and extrarenal vasopressin V2 receptors,juul,2014,,AVP/V2 receptor (enzyme)/AVPR2,,,,,xci (potential),,,,,,,,,,
Temporal delays and individual variation in antidiuretic response to desmopressin,juul,2013,experiment,,,,,,,,antidiuretic response to demopressin,,,clinical trials,,,x,,
Dosage compensation in Bombyx mori is achieved by partial repression of both Z chromosomes in males,rosin,2022,,,,x,,x,,,,,,oligopaints to examine dosage compensation in silkworms,,,,,
Escape from X inactivation varies in mouse tissues,berletch,2015,experiment,,x,,,,xci/exci,,,,,binomial model to assess the allelic expression (mice); rnaseq,,,,,
